100	424
100010	7
100017	1
100032	1
100042	1
100046	1
100089	3
100185	3
100196	4
100270	2
100272	5
100450	11
100490	1
100529	2
100540	1
100830	1
101	433
101281	7
101289	1
101362	115
101653	2
1018	109
101887	1
101904	3
102	195
102039	1
102051	8
102165	2
102242	1
102286	4
1023	306
102305	1
1024	106
102517	2
102533	2
102541	2
102596	2
102860	1
102899	1
102901	1
102949	2
102961	2
103	92
103048	58
103162	1
103164	1
103203	2
103210	19
103269	1
103299	10
103301	1
103413	1
103489	1
103528	2
103539	94
103590	1
103667	5
103688	187
103747	2
103753	3
1039	5
103972	3
104	2021
1040	13
104155	6
104211	234
104241	156
104274	9
104317	2
104374	331
104431	3
104449	1
104638	1
104644	2
104776	2
104863	33
1049	504
105	1039
1050	156
105073	1
105098	2
1051	131
105130	2
105133	5
105157	1
1052	4
105246	6
105254	9
105325	3
105404	1
105406	1
105529	1
105531	3
105593	49
105703	3
105778	2
1058	11
105833	1
105869	22
1059	1166
105952	1
105972	3
106	15
106017	1
106222	4
106254	6
106344	4
106495	1
106646	2
106729	1
106739	1
106848	3
106970	1
107	678
107052	3
107081	1
1073	3051
107352	3
107357	5
107406	326
107412	10
107426	2
107445	1
1075	13
107612	1
107643	1
107743	1
107745	2
107846	2
107916	3
107928	2
107978	12
107999	2
108	15
108063	1
108200	4
108220	5
108246	4
108401	4
108476	1
108501	14
108512	1
108540	24
108564	1
108789	1
1088	1206
108852	1
108879	3
1089	3196
108930	1
108949	10
1090	1640
109074	2
1091	556
109161	7
1092	1176
109251	1
1093	845
109323	2
109364	6
109379	2
109416	4
109425	6
109441	1
109520	1
109841	1
109887	1
109991	1
11	1761
110	6101
110123	1
110130	7
1103	672
110372	1
110390	2
110415	1
110433	2
110447	1
110457	2
110486	1
110501	64
110553	223
110603	17
110669	20
110748	1
110899	1
111	2855
111031	2
111261	1
111310	1
111332	2
1114	39
111443	100
111460	1
1115	4
1116	14
111732	5
111759	942
111815	2
111913	5
112	1215
112087	16
112283	2
112293	2
1123	23
1124	474
112454	1
112460	10
112485	1
1125	568
112582	16
1126	332
112655	1
112672	1
1127	1745
112735	1
112767	7
113	112
113105	2
113300	1
113364	5
113374	5
113432	1
113582	2
113757	1
113843	2
113947	1
114	26
114003	1
114033	16
114044	10
114046	3
114060	67
114146	1
114184	12
114242	7
114246	42
114394	2
114426	1
114464	2
114838	1
114875	1
114888	2
114922	1
115	7
115109	2
115162	1
115210	295
115386	1
115711	2
115871	3
115877	9
115903	1
115909	2
115929	2
116	81
116155	2
1162	71
116231	1
1163	33
1164	15
116463	4
116495	1
116853	2
116857	3
116977	72
117	125
117340	1
117424	1
117464	5
117472	2
117506	2
117913	1
117924	1
118	118
118236	2
118390	2
118576	1
118760	9
118872	2
118900	83
118946	1
119685	3
12	412
120	18
120122	1
120280	1
120292	3
120478	14
120637	28
120831	3
120833	1
120835	1
120942	3
121	81
121003	1
121111	6
121113	2
121135	3
121245	1
1213	3155
121455	1
121727	1
122	384
122525	1
122787	1
122884	30
122894	2
122924	204
122982	1
123	242
123103	1
123107	1
123109	1
123229	1
123359	2
123553	1
123979	1
124	32
124217	1
1244	902
1245	632
124521	1
1246	2402
1247	1853
1248	449
124837	1
124851	1
124853	1
1249	916
1250	1324
125077	2
1251	316
1252	1639
1253	612
125337	1
1254	533
1255	199
125521	1
125531	1
125537	1
125541	1
125587	2
1257	548
125700	1
125874	3
1259	2164
125926	9
125952	2
1260	447
126016	2
126076	2
126090	14
126122	1
126132	1
126136	2
126140	2
126148	1
126152	2
126172	1
126186	1
1262	1143
126420	1
126432	1
1265	3523
126550	2
126560	1
1266	1452
1267	902
126749	2
126777	1
126781	2
126783	1
126797	1
1268	310
1269	661
126919	3
126925	1
126927	3
126929	3
126947	1
126963	1
127	3
127021	2
127040	2
127098	111
1271	979
127146	17
127148	2
127186	4
1272	903
1273	275
127323	9
127445	1
127585	1
1277	424
127728	1
1278	1525
1279	245
128	7
1280	311
128089	6
1281	404
128149	1
128169	2
1282	1258
128201	1
1283	476
1284	578
1285	1129
128508	2
128564	1
128588	1
128598	1
128606	11
128614	1
128671	6
128679	3
128842	3
128846	2
128862	3
128876	2
128960	2
129	20
129009	3
129229	1
129237	1
129820	1
129830	1
129851	1
129933	1
13	176
130233	3
130269	2
130374	2
130402	1
130450	22
130452	16
130458	2
130474	7
130492	2
130900	1
131027	1
131098	1
131433	4
131457	3
131476	2
131478	5
131739	14
131830	5
131932	1
132	216
132128	6
132144	1
132150	2
132232	1
132298	1
132344	1
132422	2
132551	1
132608	1
132883	4
132961	21
133	2
133119	1
133121	1
133123	5
133131	2
133137	3
133183	1
133241	1
133255	3
133365	2
133441	1
133643	1
133716	2
133741	1
133792	1
133879	1
133941	1
134	3
134126	1
134158	2
134238	3
134368	179
134374	8
134569	4
134777	2
134881	25
135	702
135198	1
135200	1
135204	1
135210	1
135260	1
135286	1
135362	1
135536	168
135659	1
135695	3
135787	2
135799	1
1358	1376
1359	400
136	13
1360	9
1361	143
136190	2
1363	143
136311	1
136339	2
136345	3
1364	7
136459	7
1365	110
136576	1
1366	188
136698	6
1367	912
136742	1
136752	2
136762	1
136786	2
1368	1
136884	1
1369	13
137	28
1370	1613
137014	1
1371	1082
